City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,cill airne,52.05,-9.5167,288.23,94,100,2.0,IE,1787096125
176,hithadhoo,-0.6,73.0833,300.91,78,95,5.26,MV,1787095574
177,newman,37.3138,-121.0208,304.76,26,31,2.03,US,1787096128
178,faya-largeau,17.9257,19.1043,306.83,18,35,3.09,TD,1787095550
179,bansud,12.865,121.4564,300.73,75,100,2.65,PH,1787096130
180,st. john's,47.5649,-52.7093,288.79,79,45,4.12,CA,1787095550
181,vryburg,-26.9566,24.7284,287.59,24,0,2.9,ZA,1787096132
182,vorgashor,67.5833,63.95,286.01,64,39,3.49,RU,1787095746
183,tomatlan,19.9333,-105.25,304.94,64,99,4.24,MX,1787095784
184,jand,33.4299,72.0193,304.27,58,33,4.97,PK,1787096136
185,fisterra,42.9049,-9.2629,292.29,91,1,5.45,ES,1787096137
186,crane,31.3974,-102.3501,310.28,19,2,6.09,US,1787095748
187,aldan,58.6031,125.3894,282.49,67,65,1.45,RU,1787095657
188,vadso,70.0744,29.7487,284.24,87,100,6.17,NO,1787095753
189,i-n-salah,27.1935,2.4607,309.4,13,2,5.13,DZ,1787096141
190,rovaniemi,66.5,25.7167,285.68,94,97,3.45,FI,1787096142
191,boca suno,-0.7167,-77.1333,296.97,89,88,1.23,EC,1787096143
192,watsa,3.0372,29.5355,291.21,98,99,0.93,CD,1787096144
193,qamdo,31.1667,97.2333,279.72,74,28,1.59,CN,1787096145
194,tonghae,37.5439,129.1069,298.92,73,81,2.88,KR,1787095614
195,dakhla,23.6848,-15.958,295.16,83,91,10.29,EH,1787095774
196,ambalangoda,6.2355,80.0538,299.35,86,22,5.47,LK,1787096149
197,whangarei,-35.7317,174.3239,286.17,45,31,3.89,NZ,1787096150
198,ouesso,1.6136,16.0517,294.49,97,93,1.1,CG,1787096151
199,invercargill,-46.4,168.35,283.16,76,100,4.02,NZ,1787095563
200,north haven,41.3909,-72.8595,299.31,86,68,1.54,US,1787096153
201,constantia,44.1833,28.65,295.76,76,37,7.93,RO,1787095778
202,fang,19.9169,99.2145,297.42,97,100,1.22,TH,1787096155
203,carnarvon,-24.8667,113.6333,289.77,82,23,5.81,AU,1787095747
204,whitehorse,60.7161,-135.0538,291.93,42,97,1.54,CA,1787095747
205,el granada,37.5027,-122.4694,296.97,75,93,9.77,US,1787096158
206,tommot,58.9564,126.2925,282.82,74,54,0.54,RU,1787095788
207,ola,59.5833,151.2833,286.93,67,96,2.45,RU,1787095706
208,santana do matos,-5.9575,-36.6556,297.71,74,49,9.84,BR,1787096162
209,port elizabeth,-33.918,25.5701,286.66,93,83,1.03,ZA,1787095748
210,walvis bay,-22.9575,14.5053,286.68,94,0,1.54,NA,1787096164
211,cacoal,-11.4386,-61.4472,303.43,32,17,2.17,BR,1787096165
212,ukholovo,53.7929,40.4892,292.54,70,96,6.87,RU,1787096166
213,kasongo,-4.45,26.6667,299.13,30,67,1.13,CD,1787096167
214,toliara,-23.35,43.6667,294.36,74,1,2.44,MG,1787096168
215,lagoa,39.05,-27.9833,296.23,84,18,4.73,PT,1787096169
216,coracora,-15.0333,-73.7833,283.4,45,1,1.26,PE,1787096170
217,saki,8.6667,3.3833,294.56,96,100,1.49,NG,1787096171
218,rafraf,37.1904,10.1837,299.93,74,0,7.8,TN,1787096172
